iteration,max_L,min_L,c_exact_avg,g_exact_avg_0,c_avg,g_avg_0,c_pi_exact,g_pi_exact_0,c_pi,g_pi_0,lambda_0,c_br_exact,g_br_exact_0,c_br,g_br_0
0,81.65360355,38.71002889,0.02627037,0.081660751,-4.23354578,2.912904978,0.02627037,0.016607512,-4.23354578,2.912904978,15,0.02627037,0.016607512,-4.23354578,2.912904978
1,72.54559755,4.902317338,-0.008368727,0.061801209,0.234184504,2.460380435,-0.043007824,0.019416673,4.701914787,2.007855892,1.82E-05,0.02657783,0.019507691,0.833557248,0.592500687
2,74.65101629,10.12146797,-0.013801308,0.071843334,-0.04238075,2.539779902,-0.02466647,0.019275836,-0.595511258,2.698578835,1.02E-09,-0.019948862,0.019412179,-0.550483406,2.184387684
3,91.50246489,3.522420128,-0.003882132,0.042865921,-1.2640481,3.1422171,0.025875397,0.019336823,-4.929049969,4.949528694,1.81E-15,0.00685621,0.019625908,1.965798974,0.46509847
4,89.31299615,-2.203039876,-0.021516022,0.052897785,-0.571089506,3.046136189,0.00794842,0.020252389,2.200744867,2.661812544,4.15E-26,8.73E-06,0.019846258,-0.56098026,-0.49735254
5,88.87715966,10.89374298,-0.0241755,0.039091217,-0.18859452,3.018858473,-0.01747289,0.019637722,1.72388041,2.882469893,8.85E-32,-0.063339889,0.020360384,-0.442783833,4.584605217
6,53.42063286,6.258104526,-0.020656884,0.029069822,0.197003931,1.824120964,-0.014545193,0.019969839,2.510594606,-5.344304085,6.26E-38,-0.006098744,0.020077218,1.520469666,2.260893583
7,46.21163046,1.524311718,-0.035347752,0.039065677,0.640838146,1.569026411,-0.083183823,0.019917424,3.747677565,-0.216635466,3.24E-26,-0.010654896,0.01972442,1.499412775,0.06327942
8,33.48861289,1.741821201,-0.033330725,0.049043252,0.858247042,1.137678862,0.083805486,0.01967485,2.597517967,-2.31310153,1.23E-25,0.010645698,0.019963221,0.210870743,0.96856916
9,29.23295942,-1.343532603,-0.030905664,0.035006973,0.87768364,0.995175859,0.019919883,0.020019526,1.052612901,-0.287351161,1.66E-20,0.020992045,0.019894723,1.380166054,-1.7657969
10,40.75270916,-2.684127387,-0.034203278,0.040055421,0.746844709,1.383528815,-0.005179412,0.019788793,-0.561544061,5.267058372,8.97E-20,-0.005483107,0.019843663,0.650939643,-2.395712852
11,44.82798008,-2.415714648,-0.035913442,0.042008192,0.784186944,1.452705256,-0.005438383,0.020778233,-0.589621264,5.530411291,9.42E-20,-0.005757262,0.020835846,0.683486625,-2.515498495
12,49.31077808,-2.174143183,-0.035709114,0.040908602,0.823396292,1.525340519,-0.005710302,0.021817144,-0.619102327,5.806931855,9.89E-20,-0.006045125,0.021877638,0.717660956,-2.641273419
13,54.24185589,-1.956728865,-0.03559457,0.040885511,0.864566106,1.601607544,-0.005995817,0.022908001,-0.650057444,6.097278448,1.04E-19,-0.006347382,0.02297152,0.753544004,-2.77333709
14,59.66604148,-1.761055979,-0.035772543,0.040862396,0.907794412,1.681687922,-0.006295608,0.024053402,-0.682560316,6.40214237,1.09E-19,-0.006664751,0.024120096,0.791221204,-2.912003945
15,65.63264563,-1.584950381,-0.035751405,0.040839259,0.953184132,1.765772318,-0.006610388,0.025256072,-0.716688332,6.722249489,1.14E-19,-0.006997988,0.025326101,0.830782265,-3.057604142
16,72.19591019,-1.426455343,-0.03575498,0.040816098,1.000843339,1.854060934,-0.006940907,0.026518875,-0.752522748,7.058361963,1.20E-19,-0.007347888,0.026592406,0.872321378,-3.210484349
17,79.41550121,-1.283809808,-0.035758556,0.040792914,1.050885506,1.94676398,-0.007287953,0.027844819,-0.790148886,7.411280061,1.26E-19,-0.007715282,0.027922027,0.915937447,-3.371008567
18,79.49491671,-1.285093618,-0.035762132,0.040769707,1.051936391,1.948710744,-0.007295241,0.027872664,-0.790939034,7.418691341,1.26E-19,-0.007722997,0.027949949,0.916853384,-3.374379575
19,79.57441163,-1.286378712,-0.035765708,0.040746477,1.052988328,1.950659455,-0.007302536,0.027900536,-0.791729973,7.426110033,1.26E-19,-0.00773072,0.027977899,0.917770238,-3.377753955
20,79.65398604,-1.287665091,-0.035769285,0.040723223,1.054041316,1.952610115,-0.007309839,0.027928437,-0.792521703,7.433536143,1.27E-19,-0.007738451,0.028005876,0.918688008,-3.381131709
21,79.73364003,-1.288952756,-0.035772861,0.040699946,1.055095357,1.954562725,-0.007317148,0.027956365,-0.793314225,7.440969679,1.27E-19,-0.00774619,0.028033882,0.919606696,-3.38451284
22,79.81337367,-1.290241708,-0.035776439,0.040676646,1.056150453,1.956517287,-0.007324466,0.027984322,-0.794107539,7.448410649,1.27E-19,-0.007753936,0.028061916,0.920526303,-3.387897353
23,79.89318704,-1.29153195,-0.035780016,0.040653323,1.057206603,1.958473805,-0.00733179,0.028012306,-0.794901647,7.455859059,1.27E-19,-0.00776169,0.028089978,0.921446829,-3.391285251
24,79.97308023,-1.292823482,-0.035783594,0.040629976,1.05826381,1.960432278,-0.007339122,0.028040318,-0.795696549,7.463314918,1.27E-19,-0.007769451,0.028118068,0.922368276,-3.394676536
